athlete_country,year_of_event,total_finishers
ESP,1996,106
RUS,1997,106
NEP,2014,106
HUN,1997,105
POL,2003,105
MAC,2017,104
RUS,2005,104
ESA,2019,103
MAR,2022,102
HUN,2000,101
CZE,2007,101
MKD,2019,100
LUX,2009,100
ISL,2008,100
IRL,2006,100
KAZ,2017,99
MAC,2021,99
ISL,2007,99
TUN,2019,98
FIN,2007,98
AND,2015,98
VIE,2021,97
OMA,2022,97
POL,2002,96
NZL,1999,96
RUS,2004,96
SWE,2002,96
EST,2016,95
RUS,1999,95
DEN,2002,94
ZIM,2010,94
ISR,2008,94
NAM,2019,94
BOT,2018,93
DEN,2005,93
POL,2000,92
SLO,2009,92
ZIM,1997,91
NEP,2015,90
SWZ,2019,89
BOL,2017,89
MLT,2022,88
NZL,1998,88
SLO,2004,88
IRI,2019,88
POL,1999,87
MLT,2018,87
ROU,2013,87
BIH,2017,87
MRI,2017,86
ZIM,2000,86
DEN,2003,86
LTU,2015,86
EST,2017,86
DEN,2001,85
ZIM,2011,85
NOR,2005,84
BOT,2019,84
HKG,2009,84
ZIM,2013,83
MDA,2019,83
MKD,2022,83
HKG,2008,83
PER,2022,83
XXX,2019,82
FIN,1996,82
LUX,2004,81
CHI,2020,81
ISR,2009,81
SLO,2008,80
BUL,2012,80
HUN,2002,80
TUR,2011,80
CZE,2002,79
IND,2010,79
SWZ,2017,79
SLO,2006,79
SWE,1996,78
SWE,2001,78
CZE,1997,78
LUX,2005,77
MAR,2015,77
BLR,2017,77
GUA,2015,77
LAT,2010,76
MAC,2020,76
HUN,1998,76
IRI,2018,76
IRL,2005,75
SWE,1998,75
ISR,2021,75
NZL,1997,75
CZE,2005,75
SWE,2000,75
VIE,2016,75
TUN,2018,74
MKD,2017,74
LTU,2011,74
IND,2009,74
VEN,2021,74
LUX,2006,74
LUX,2008,74
IND,2008,73
RUS,1998,73
CHI,2011,73
SVK,2009,73
SWE,1997,73
MAR,2021,72
MLT,2021,72
HKG,2010,72
BIH,2022,72
MAD,2013,72
DEN,2004,71
KEN,2018,71
HKG,2007,71
BLR,2016,71
NAM,2017,71
MEX,2007,71
CZE,1996,71
CRO,2012,70
MEX,1999,70
CRO,2011,70
LTU,2010,70
CYP,2018,70
PAR,2017,69
ALG,2018,69
CRC,2014,69
ISL,1999,69
SLO,2005,68
ARG,2006,68
BIH,2016,68
OMA,2021,68
QAT,2019,68
IRL,2004,67
FIN,2006,67
AND,2022,67
PAR,2016,67
SLO,2020,66
PHI,2009,66
ALG,2019,66
BRU,2020,66
EST,2014,66
ZAM,2018,66
MEX,2006,66
KEN,2019,65
BLR,2015,65
KEN,2016,65
BLR,2014,65
NEP,2011,65
CHN,2008,65
CZE,2000,65
SVK,2008,65
ROU,2012,64
BLR,2021,64
MAD,2010,64
MKD,2020,64
LTU,2014,64
ZIM,2015,64
HUN,2003,64
HUN,2004,64
ZIM,1999,63
ZIM,2012,63
MLT,2019,63
ARG,2005,63
INA,2013,63
MEX,2001,63
JOR,2014,63
CRC,2012,63
XXX,2016,63
LUX,2003,63
HKG,2005,63
ALG,2016,63
ZIM,1998,62
AND,2021,62
LUX,2007,62
MKD,2018,62
CHN,2004,61
IND,2007,61
CHN,2005,60
NAM,2016,60
DOM,2018,60
LES,2019,59
ZIM,2014,59
ALG,2011,59
SVK,2003,58
UKR,2003,58
NEP,2013,58
KOS,2022,58
XXX,2017,58
CZE,2006,58
COL,2022,57
ZIM,2001,57
ECU,2022,57
UKR,2011,57
MEX,2004,57
MAC,2016,57
LAT,2008,57
CZE,2004,56
MKD,2015,56
FIN,2004,56
SVK,2002,56
THA,2013,56
ISL,2001,55
VEN,2022,55
CRO,2010,55
EST,2015,54
GUA,2010,54
LTU,2013,54
QAT,2020,54
SVK,1996,54
COL,2021,54
MAD,2011,53
POR,2003,53
CRC,2013,53
PER,2021,52
NCA,2016,51
NOR,1997,51
ISL,1998,51
IRI,2021,51
PER,2012,51
DOM,2016,51
DEN,2000,51
AND,2011,51
MAR,2013,51
LES,2016,51
MAD,2015,50
HUN,1999,50
MDA,2022,50
LES,2017,50
MDA,2018,49
NEP,2010,49
DOM,2017,49
BOL,2016,49
SMR,2022,49
SLO,1996,49
BLR,2013,49
KEN,2011,49
JOR,2018,49
BIH,2015,49
ALG,2022,49
ISL,2006,49
ZAM,2019,48
BLR,2011,48
SVK,1999,48
ISL,1997,48
SVK,1997,48
NEP,2022,48
ISL,2002,47
EST,2013,47
VEN,2013,47
SVK,2007,47
CZE,1999,47
CRC,2022,47
MKD,2016,47
ZIM,2004,47
ISL,2000,47
ECU,2020,46
EST,2011,46
NEP,2021,46
ISL,2005,46
BLR,1997,46
BLR,2003,46
BLR,2000,46
SWZ,2016,45
KSA,2022,45
GUA,2020,45
KOS,2021,45
CYP,2016,44
MRI,2022,44
GUA,2009,44
ZIM,2005,44
MEX,2005,44
SVK,2001,44
URU,2014,44
TPE,2000,44
ALG,2013,44
CYP,2022,44
FIN,1997,43
HKG,2006,43
NAM,2010,43
NEP,2012,43
CZE,2003,43
LAT,2009,43
CRC,2020,42
CHN,2003,42
MGL,2012,42
BOT,2017,42
MKD,2014,42
MLT,2016,42
MDA,2017,42
FIN,2005,42
TPE,2001,41
XXX,2015,41
SWE,1999,41
BLR,1998,41
MGL,2019,41
ISL,2003,40
KAZ,2021,40
UKR,1997,40
SVK,2000,40
KEN,2012,40
CRO,2004,40
NAM,2000,39
BIH,2020,39
MAS,2008,39
LES,2010,39
KEN,2014,39
MDA,2021,39
IRL,1997,38
NAM,2011,38
ZAM,2017,38
BLR,1996,38
ALG,2014,38
MAW,2018,38
BLR,2001,38
MEX,1997,38
XXX,2014,38
ESA,2016,38
NAM,1996,38
NAM,1998,38
IRL,2003,37
CZE,1998,37
NOR,2006,37
NOR,2004,37
LAT,2003,37
LTU,2009,37
LES,2012,37
MAC,2022,37
URU,2010,36
GRE,2005,36
IRI,2017,36
UKR,2001,36
NOR,2001,36
MRI,2020,36
LTU,2012,35
DEN,1999,35
MAR,2012,35
ALG,2008,35
SMR,2017,35
CYP,2019,35
XXX,2013,35
CYP,2017,35
ZIM,2002,35
CRO,2008,35
MLT,2020,35
KEN,2013,35
ZIM,2009,35
MRI,2021,34
MAW,2019,34
IRL,2000,34
NZL,1996,34
BLR,1999,34
CYP,2021,34
GUA,2008,34
BOL,2019,34
MAR,2014,34
LUX,2002,34
PAR,2015,33
URU,2007,33
ECU,2021,33
ALB,2019,33
CHN,2007,33
AND,2010,33
FIN,1998,33
MRI,2014,33
ZIM,2003,33
KSA,2020,33
NAM,2014,33
SMR,2019,33
CYP,2015,33
BRA,2003,33
ALG,2017,33
UKR,2007,32
JOR,2017,32
CRO,2007,32
CRO,2001,32
NAM,2015,32
GUA,2022,32
BLR,2012,32
KOR,2001,32
KOS,2018,32
POR,2006,32
KEN,2017,31
TUN,2017,31
JOR,2019,31
UAE,2018,31
BLR,2007,31
MGL,2014,31
ZIM,2006,31
CRO,2002,31
MNE,2022,31
XXX,2020,30
MRI,2015,30
FIN,2001,30
SMR,2018,30
ALG,2015,30
UAE,2017,30
ECU,2010,30
IRI,2022,30
PAR,2022,30
DEN,1998,30
CHN,2006,30
ESA,2017,30
ESA,2021,30
MEX,2003,30
MRI,2011,29
SMR,2021,29
MKD,2021,29
CAM,2019,29
NOR,1998,29
BLR,2002,29
BRA,1999,29
URU,2011,29
XXX,2012,29
AND,2009,29
XXX,2021,29
PUR,2017,28
LES,2013,28
GRE,2006,28
BOL,2020,28
KOR,2000,28
BRU,2022,28
DEN,1997,28
SMR,2016,28
CRC,2008,28
NOR,2003,28
IRL,2001,28
NGR,2018,28
UKR,1996,28
FIN,2002,27
KAZ,2016,27
IRI,2016,27
EST,2010,27
LBN,2019,27
MLT,2017,27
MKD,2013,27
NEP,2009,27
SVK,2004,27
NEP,2020,27
KEN,2015,27
UKR,2005,27
JOR,2015,27
ALG,2021,27
BIH,2014,27
MAS,2009,27
MAR,2010,27
