distance_km,athlete_gender,athlete_tier,avg_speed,total_athletes
48.2,F,Elite,11.402620689655173,29
48.2,M,Average,8.144822222222222,855
48.2,M,Elite,12.438126315789475,95
48.2802,F,Average,6.611882770488277,4649
48.2802,F,Elite,9.921098646034816,517
48.2802,M,Average,7.286614588180549,8596
48.2802,M,Elite,11.220798328108673,957
48.3,F,Average,4.831288343558282,163
48.3,F,Elite,8.402842105263158,19
48.3,M,Average,5.464093979441998,681
48.3,M,Elite,9.596723684210525,76
48.4,F,Average,5.792180212014134,283
48.4,F,Elite,10.52728125,32
48.4,M,Average,6.740646594982079,1395
48.4,M,Elite,12.40951923076923,156
48.48,F,Average,6.60275,4
48.48,F,Elite,7.707,1
48.48,M,Average,8.107833333333334,18
48.48,M,Elite,11.794,2
48.5,F,Average,5.01971948608137,467
48.5,F,Elite,10.588000000000001,52
48.5,M,Average,6.734247356051704,1702
48.5,M,Elite,13.159789473684212,190
48.6,F,Average,7.225603448275861,58
48.6,F,Elite,9.602285714285715,7
48.6,M,Average,7.553003322259137,301
48.6,M,Elite,11.091411764705882,34
48.7,F,Average,8.159045871559632,109
48.7,F,Elite,12.305615384615383,13
48.7,M,Average,8.208011744966443,596
48.7,M,Elite,13.313641791044777,67
48.763002,F,Average,6.64822429906542,107
48.763002,F,Elite,9.31975,12
48.763002,M,Average,7.4784444444444444,198
48.763002,M,Elite,10.88,23
48.8,F,Average,6.038285714285714,7
48.8,F,Elite,8.133,1
48.8,M,Average,6.212565217391305,23
48.8,M,Elite,9.950333333333333,3
48.9,F,Average,6.827206896551724,58
48.9,F,Elite,9.438999999999998,7
48.9,M,Average,6.664111111111111,360
48.9,M,Elite,10.047425,40
49.0,F,Average,5.7314672355989025,3281
49.0,F,Elite,9.173290410958904,365
49.0,M,Average,6.371452431150349,15178
49.0,M,Elite,10.112335308056872,1688
49.08487,F,Average,5.798529411764706,34
49.08487,F,Elite,8.69,4
49.08487,M,Average,6.918826923076923,52
49.08487,M,Elite,9.975666666666667,6
49.1,F,Average,3.4060513698630137,292
49.1,F,Elite,5.271088235294118,34
49.1,M,Average,3.6110945273631843,402
49.1,M,Elite,7.637733333333333,45
49.2,F,Average,7.448297872340425,235
49.2,F,Elite,12.278333333333332,27
49.2,M,Average,9.050002814919072,1421
49.2,M,Elite,14.233316455696203,158
49.3,F,Average,7.6205168539325845,89
49.3,F,Elite,12.713899999999999,10
49.3,M,Average,8.854986046511629,645
49.3,M,Elite,14.588319444444444,72
49.4,F,Average,6.179916666666666,24
49.4,F,Elite,8.418333333333333,3
49.4,M,Average,6.803284263959391,197
49.4,M,Elite,9.356499999999999,22
49.406738,F,Elite,7.866,1
49.406738,M,Average,6.98,9
49.406738,M,Elite,9.48,1
49.5,F,Average,5.769659090909091,88
49.5,F,Elite,8.6388,10
49.5,M,Average,6.068438485804416,634
49.5,M,Elite,9.195661971830987,71
49.567672,F,Average,7.440622222222222,135
49.567672,F,Elite,9.877375,16
49.567672,M,Average,8.381964539007091,141
49.567672,M,Elite,12.224875,16
49.6,F,Average,5.595633507853403,191
49.6,F,Elite,10.77290909090909,22
49.6,M,Average,5.812952108649035,1399
49.6,M,Elite,10.163416666666667,156
49.7,F,Average,6.651534653465346,101
49.7,F,Elite,9.642166666666666,12
49.7,M,Average,7.546232924693521,571
49.7,M,Elite,10.621671875,64
49.8,F,Average,4.404983630952381,672
49.8,F,Elite,6.795586666666666,75
49.8,M,Average,4.86439615564932,2133
49.8,M,Elite,7.522143459915612,237
49.88954,F,Average,6.782392097264437,987
49.88954,F,Elite,9.578621621621622,111
49.88954,M,Average,7.376154735437973,2249
49.88954,M,Elite,10.905152,250
49.9,F,Average,8.169625,8
49.9,F,Elite,11.174,1
49.9,M,Average,10.219021276595745,47
49.9,M,Elite,13.808333333333332,6
49.99,F,Average,11.126,1
49.99,F,Elite,13.738,1
49.99,M,Average,10.771600000000001,5
49.99,M,Elite,13.573,1
50.0,F,Average,6.768078956193141,277331
50.0,F,Elite,10.660431123937999,30838
50.0,M,Average,7.370259755316441,715046
50.0,M,Elite,12.246212893402294,79467
50.1,F,Average,7.654311111111112,135
50.1,F,Elite,9.766666666666667,15
50.1,M,Average,8.133845386533666,802
50.1,M,Elite,10.979544444444445,90
50.2,F,Average,7.761525641025641,78
50.2,F,Elite,10.530111111111111,9
50.2,M,Average,8.287891176470588,340
50.2,M,Elite,11.139736842105263,38
50.211408,F,Average,7.404735294117647,136
50.211408,F,Elite,9.8839375,16
50.211408,M,Average,7.943725000000001,160
50.211408,M,Elite,11.674333333333333,18
50.3,F,Average,3.649950867052023,692
50.3,F,Elite,7.223658227848101,79
50.3,M,Average,4.2082471502590675,1930
50.3,M,Elite,9.183753488372094,215
50.4,F,Average,7.029825910931174,247
50.4,F,Elite,11.605500000000001,28
50.4,M,Average,7.942122308354866,1161
50.4,M,Elite,13.448124031007751,129
50.5,F,Average,5.585,274
50.5,F,Elite,9.084548387096774,31
50.5,M,Average,6.631703866432337,1138
50.5,M,Elite,10.786228346456692,127
50.533276,F,Average,8.092555555555556,9
50.533276,F,Elite,11.212,1
50.533276,M,Average,7.883615384615384,26
50.533276,M,Elite,11.055666666666667,3
50.6,F,Average,6.326833333333333,54
50.6,F,Elite,10.7095,6
50.6,M,Average,7.099451219512194,328
50.6,M,Elite,12.097378378378378,37
50.69,F,Average,9.362,8
50.69,F,Elite,10.906,1
50.69,M,Average,9.199261904761904,42
50.69,M,Elite,11.5304,5
50.69421,F,Average,7.028698142414861,646
50.69421,F,Elite,10.038319444444445,72
50.69421,M,Average,7.731598144182726,1401
50.69421,M,Elite,11.647217948717948,156
50.7,F,Average,6.356052173913044,115
50.7,F,Elite,9.556,13
50.7,M,Average,6.960637747336378,657
50.7,M,Elite,10.950164383561644,73
50.74,F,Average,5.6736875,16
50.74,F,Elite,6.8245000000000005,2
50.74,M,Average,5.907091603053435,131
50.74,M,Elite,7.670333333333334,15
50.8,F,Average,5.506115384615384,104
50.8,F,Elite,8.735916666666666,12
50.8,M,Average,5.936855113636364,352
50.8,M,Elite,10.4104,40
50.9,F,Average,6.388968253968254,63
50.9,F,Elite,10.768,8
50.9,M,Average,6.873589005235601,382
50.9,M,Elite,11.25939534883721,43
51.0,F,Average,5.962309502532023,6714
51.0,F,Elite,9.542597054886212,747
51.0,M,Average,6.651543429402433,30256
51.0,M,Elite,10.590911441307579,3365
51.016078,F,Average,7.469402010050252,199
51.016078,F,Elite,10.962478260869565,23
51.016078,M,Average,7.987776094276094,594
51.016078,M,Elite,11.702552238805971,67
51.1,F,Average,5.406477611940298,134
51.1,F,Elite,8.707933333333333,15
51.1,M,Average,5.7262324649298595,499
51.1,M,Elite,9.829607142857142,56
51.2,F,Average,5.663892857142857,112
51.2,F,Elite,8.808615384615385,13
51.2,M,Average,5.963706896551724,406
51.2,M,Elite,9.704673913043479,46
51.3,F,Average,7.065513698630137,292
