athlete_age,athlete_gender,distance_km,avg_speed,sample_size
23.0,F,90.0,7.471153846153846,13
23.0,F,100.0,5.4667002141327625,467
23.0,F,101.0,5.778416666666666,12
23.0,F,105.0,5.3316923076923075,13
23.0,F,106.0,3.947818181818182,11
23.0,F,160.934,5.70145652173913,92
23.0,F,250.0,4.7396666666666665,15
23.0,M,45.0,7.418794642857143,448
23.0,M,45.06152,8.21103448275862,29
23.0,M,45.5,5.869461538461538,13
23.0,M,45.6,7.322785714285715,14
23.0,M,46.0,7.870442307692307,208
23.0,M,47.0,7.176360294117647,136
23.0,M,47.3,3.7779230769230767,13
23.0,M,48.0,7.302618497109827,173
23.0,M,48.2802,7.9527222222222225,54
23.0,M,48.5,4.745681818181819,22
23.0,M,49.0,6.6281978021978025,91
23.0,M,49.8,4.379666666666666,24
23.0,M,49.88954,7.784833333333334,18
23.0,M,50.0,8.40231377899045,5131
23.0,M,50.3,3.4861176470588235,17
23.0,M,50.4,9.671133333333334,15
23.0,M,51.0,6.979580110497238,181
23.0,M,51.49888,8.082566666666667,30
23.0,M,51.7,4.328333333333333,33
23.0,M,52.0,7.7994825174825175,286
23.0,M,52.2,5.155,14
23.0,M,52.6,8.269923076923076,13
23.0,M,53.0,7.264092165898617,217
23.0,M,53.10822,9.029173913043477,23
23.0,M,54.0,7.294128787878789,132
23.0,M,54.71756,5.2276181818181815,55
23.0,M,55.0,7.196031175059952,417
23.0,M,55.6,6.0210625,16
23.0,M,56.0,9.656249158249159,594
23.0,M,56.3269,8.050952380952381,21
23.0,M,57.0,7.122376923076923,130
23.0,M,58.0,7.1442327586206895,116
23.0,M,59.0,6.949882352941176,51
23.0,M,60.0,7.089429223744292,438
23.0,M,61.0,6.888982142857143,56
23.0,M,62.0,6.780139130434783,115
23.0,M,63.0,6.593674846625767,163
23.0,M,63.3,9.287888888888888,18
23.0,M,64.0,6.772829787234042,94
23.0,M,64.3736,8.213065934065934,91
23.0,M,64.6,4.808166666666667,18
23.0,M,65.0,6.659405063291139,237
23.0,M,65.5,6.431642857142857,14
23.0,M,66.0,7.287528571428571,70
23.0,M,66.8,6.1194999999999995,18
23.0,M,67.0,7.531608695652174,69
23.0,M,68.0,7.18017610062893,159
23.0,M,69.0,7.591495652173913,115
23.0,M,70.0,6.63982995951417,247
23.0,M,70.81096,7.250454545454545,11
23.0,M,71.0,6.7605,24
23.0,M,71.5,4.932847826086957,46
23.0,M,72.0,7.056407894736843,228
23.0,M,72.4203,8.674615384615384,26
23.0,M,72.7,9.2188125,32
23.0,M,73.0,6.380117117117117,111
23.0,M,74.0,6.226904761904761,42
23.0,M,75.0,7.465793103448276,174
23.0,M,76.0,7.094620253164558,79
23.0,M,77.0,7.184313725490195,51
23.0,M,78.0,7.449858333333334,120
23.0,M,79.0,6.957538461538461,13
23.0,M,80.0,6.8900204778157,293
23.0,M,80.467,7.828494279176202,1311
23.0,M,81.0,6.904287878787879,66
23.0,M,82.0,6.230291666666666,48
23.0,M,83.0,6.310711111111112,45
23.0,M,83.68568,7.2727,20
23.0,M,84.0,6.223942857142857,35
23.0,M,84.329416,7.093947368421053,19
23.0,M,85.0,6.224322033898305,59
23.0,M,86.0,5.961184210526316,38
23.0,M,87.0,8.723763358778626,524
23.0,M,88.0,6.325340909090909,44
23.0,M,88.5137,7.5489999999999995,12
23.0,M,89.0,9.15155641025641,390
23.0,M,90.0,6.965505617977527,89
23.0,M,90.12304,7.268363636363636,11
23.0,M,96.0,4.276222222222222,18
23.0,M,98.0,4.818952380952381,21
23.0,M,100.0,6.319164015359298,1823
23.0,M,101.0,5.827809523809523,105
23.0,M,102.0,6.129666666666667,30
23.0,M,103.0,6.064057692307693,52
23.0,M,104.0,6.052947368421052,19
23.0,M,105.0,5.646333333333334,63
23.0,M,106.0,5.5735,34
23.0,M,108.0,5.711925925925926,27
23.0,M,110.0,5.978630769230769,65
23.0,M,111.0,5.44475,40
23.0,M,112.0,5.447370370370371,27
23.0,M,115.0,5.389388888888889,18
23.0,M,119.0,5.0099285714285715,14
23.0,M,120.0,5.063235294117647,17
23.0,M,124.0,4.76835,20
23.0,M,125.0,5.07158064516129,31
23.0,M,130.0,5.184294117647059,17
23.0,M,140.0,5.450181818181818,11
23.0,M,148.0,3.6298125,16
23.0,M,160.0,4.188777777777777,18
23.0,M,160.934,6.240404011461318,349
23.0,M,168.0,4.0374375,16
23.0,M,250.0,5.626358974358975,39
24.0,F,45.0,7.056239436619718,142
24.0,F,45.06152,7.391500000000001,20
24.0,F,46.0,6.9425,62
24.0,F,47.0,6.404947368421053,38
24.0,F,47.3,3.878235294117647,17
24.0,F,48.0,7.034625,72
24.0,F,48.2802,7.35374358974359,39
24.0,F,48.5,3.7965384615384616,13
